YEAR,MONTH,STATE,TMAX,TMIN,PRCP,PRICE
2001,1,ILLINOIS,0.6134301270417423,-8.174410163339383,13.12749546279492,1.97
2001,1,INDIANA,1.426861167002012,-7.139201877934272,8.760898725687458,2.03
2001,1,IOWA,-1.5709948160947915,-11.050555418415207,11.748457171068871,1.86
2001,1,KANSAS,4.290568119139548,-6.728736900165472,13.528957528957529,2.07
2001,1,KENTUCKY,5.357915567282322,-5.09703166226913,15.967018469656992,2.18
2001,1,MICHIGAN,-0.0829337899543379,-7.436529680365297,7.66837899543379,2.04
2001,1,MINNESOTA,-2.791797676008202,-12.454887218045112,10.064935064935066,1.81
2001,1,MISSOURI,3.483727959697733,-6.772947103274559,17.505541561712846,1.92
2001,1,NEBRASKA,1.690834473324213,-8.830916552667578,10.78796169630643,1.97
2001,1,OHIO,1.709490084985836,-6.743484419263456,8.419263456090652,2.08
2001,1,OKLAHOMA,7.0209150326797385,-4.886274509803922,20.320261437908496,
2001,1,SOUTH DAKOTA,-2.6227642276422767,-12.668292682926827,11.40650406504065,1.67
2001,1,TENNESSEE,5.709243697478992,-4.820588235294117,29.23949579831933,2.21
2001,1,WISCONSIN,-1.397028086218158,-10.99601567602874,9.985630306988895,1.89
2001,2,ILLINOIS,3.965621047305844,-6.068504932962307,28.88464457374146,2.0
2001,2,INDIANA,5.35236664162284,-4.144928625093914,25.784372652141247,2.01
2001,2,IOWA,-2.858953168044077,-12.957079889807162,21.22644628099173,1.87
2001,2,KANSAS,5.640000000000001,-5.637523219814241,34.92879256965944,2.02
2001,2,KENTUCKY,10.909139784946236,-0.0846774193548387,40.24529569892473,2.28
2001,2,MICHIGAN,0.3559950556242274,-7.786711990111248,24.68170580964153,1.96
2001,2,MINNESOTA,-6.364969135802469,-17.842438271604937,13.14429012345679,1.8
2001,2,MISSOURI,6.594511858797573,-4.605956977385549,39.646166574738,2.01
2001,2,NEBRASKA,-1.2709035222052067,-11.142113323124043,19.817764165390507,1.95
2001,2,OHIO,5.493406593406593,-3.782731554160125,15.869701726844584,2.01
2001,2,OKLAHOMA,10.422794117647058,-1.7051470588235291,39.43382352941177,
2001,2,SOUTH DAKOTA,-6.365296803652968,-17.573059360730593,22.767123287671232,1.75
2001,2,TENNESSEE,11.74691943127962,0.0364928909952606,55.639810426540286,2.32
2001,2,WISCONSIN,-2.712627365356623,-12.653675400291124,17.740538573508005,1.83
2001,3,ILLINOIS,7.990211046250562,-2.992141894925909,10.216883700044905,2.0
2001,3,INDIANA,8.067247153382452,-2.581078365706631,7.658405894172806,2.02
2001,3,IOWA,3.531577633549676,-5.868422366450325,11.16674987518722,1.88
2001,3,KANSAS,11.098741794310722,-1.2033916849015318,18.154266958424508,2.07
2001,3,KENTUCKY,11.42428831011508,-0.4818897637795276,23.542701393095093,2.2
2001,3,MICHIGAN,4.373378839590443,-5.356655290102389,4.836177474402731,1.95
2001,3,MINNESOTA,1.0707896575821103,-8.463871418588399,8.250873515024459,1.76
2001,3,MISSOURI,10.36966463414634,-1.7314278455284553,14.542174796747968,1.99
2001,3,NEBRASKA,6.872976680384087,-4.035665294924554,12.185185185185183,1.98
2001,3,OHIO,7.787943262411347,-2.468368794326241,8.88936170212766,2.0
2001,3,OKLAHOMA,14.278289473684213,1.1335526315789477,12.842105263157896,
2001,3,SOUTH DAKOTA,1.2049382716049384,-8.425102880658436,11.123456790123456,1.69
2001,3,TENNESSEE,11.55546218487395,-0.2676470588235294,25.974789915966387,2.29
2001,3,WISCONSIN,3.7536366549182953,-6.05024030759372,5.184876642101891,1.81
2001,4,ILLINOIS,20.638577130781872,7.248532519370745,24.27353838929326,1.92
2001,4,INDIANA,20.215754385964917,6.994561403508772,23.430877192982457,1.98
2001,4,IOWA,18.267437134874267,4.553517907035814,31.38176276352553,1.83
2001,4,KANSAS,22.39964953271028,9.198481308411214,23.2535046728972,2.02
2001,4,KENTUCKY,22.661548556430443,9.046784776902888,17.591207349081365,2.08
2001,4,MICHIGAN,15.399514563106797,2.6825242718446605,26.946601941747574,1.9
2001,4,MINNESOTA,14.02957142857143,2.6162142857142854,54.75785714285714,1.77
2001,4,MISSOURI,22.214270887389727,9.298235599377271,25.939543331603527,1.9
2001,4,NEBRASKA,19.87464387464388,5.225641025641026,24.371794871794872,1.95
2001,4,OHIO,19.43816568047337,5.822485207100592,27.153846153846157,1.89
2001,4,OKLAHOMA,24.76912751677852,11.589261744966445,16.140939597315437,
2001,4,SOUTH DAKOTA,14.55355648535565,2.0719665271966528,53.9581589958159,1.68
2001,4,TENNESSEE,22.790000000000003,8.847083333333334,16.95,2.29
2001,4,WISCONSIN,15.568616496878082,3.3218205718041403,34.95037791652974,1.85
2001,5,ILLINOIS,24.19308091052513,11.782961460446248,37.07527608744648,1.86
2001,5,INDIANA,24.15752334832238,11.43424420615704,35.31546177793151,1.95
2001,5,IOWA,21.65600292825769,10.568643240605176,57.765983406539775,1.72
2001,5,KANSAS,25.53968079251513,13.271161254815633,38.44578976334618,1.88
2001,5,KENTUCKY,25.9586387434555,13.021924083769632,36.07657068062827,2.08
2001,5,MICHIGAN,20.995731360273197,8.712976664769494,48.762663631189525,1.86
2001,5,MINNESOTA,20.636661585365854,9.539862804878048,36.50990853658536,1.68
2001,5,MISSOURI,24.8437991377124,12.950976413898047,45.234846563530304,1.8
2001,5,NEBRASKA,23.53491847826087,11.533423913043478,77.3179347826087,1.81
2001,5,OHIO,23.365323741007195,11.213093525179856,45.67050359712231,1.83
2001,5,OKLAHOMA,26.76969696969697,14.482424242424242,61.81212121212121,
2001,5,SOUTH DAKOTA,21.29676113360324,8.991902834008098,21.46153846153846,1.54
2001,5,TENNESSEE,25.782716049382717,12.607407407407408,42.73662551440329,2.39
2001,5,WISCONSIN,20.403870558375637,8.784517766497462,43.75,1.78
2001,6,ILLINOIS,26.74280718116111,15.08148752622989,30.598041501515503,1.83
2001,6,INDIANA,26.387472607742875,14.984477720964207,34.951424397370346,1.84
2001,6,IOWA,26.061908476339056,14.417992719708788,35.02912116484659,1.66
2001,6,KANSAS,28.35197568389058,16.84127659574468,57.00547112462006,1.92
2001,6,KENTUCKY,28.37583001328021,15.688579017264276,32.69521912350598,2.07
2001,6,MICHIGAN,24.623532863849764,12.375821596244132,28.862676056338028,1.75
2001,6,MINNESOTA,25.86112759643917,14.040578635014835,36.72106824925816,1.67
2001,6,MISSOURI,27.810116834838023,16.304248539564526,53.21508231545406,1.8
2001,6,NEBRASKA,27.35854383358098,15.401188707280832,35.2481426448737,1.77
2001,6,OHIO,26.342982456140348,15.012719298245615,28.252923976608187,1.8
2001,6,OKLAHOMA,31.01340782122905,18.901117318435755,30.06145251396648,
2001,6,SOUTH DAKOTA,26.292916666666667,13.665833333333332,31.425,1.58
2001,6,TENNESSEE,28.16583333333333,15.585,35.15833333333333,2.44
2001,6,WISCONSIN,24.18940288713911,13.044980314960627,42.53182414698163,1.84
2001,7,ILLINOIS,30.263665230210933,18.36611476525289,31.097754592878204,1.95
2001,7,INDIANA,29.18747397640528,17.207494795281054,45.65475364330326,1.97
2001,7,IOWA,29.75146506386176,18.354370147758576,26.40570999248685,1.79
2001,7,KANSAS,33.854868804664726,22.00344023323615,31.81807580174927,2.03
2001,7,KENTUCKY,30.804512753433617,18.924525833878352,46.20797907128842,2.12
2001,7,MICHIGAN,27.893288590604023,14.150838926174496,14.662751677852349,1.89
2001,7,MINNESOTA,29.30885989010989,17.098557692307693,22.75274725274725,1.72
2001,7,MISSOURI,31.535213032581453,20.64759398496241,40.95413533834586,1.9
2001,7,NEBRASKA,31.221640735502124,20.12192362093352,30.468175388967467,1.86
2001,7,OHIO,29.088028169014084,17.159718309859155,38.60140845070423,1.95
2001,7,OKLAHOMA,35.95185185185185,23.02283950617284,15.265432098765432,
2001,7,SOUTH DAKOTA,29.17096774193548,17.84717741935484,35.30241935483871,1.69
2001,7,TENNESSEE,30.50973782771536,19.088014981273407,38.46067415730337,2.4
2001,7,WISCONSIN,28.61309448319594,15.73287888395688,18.317691819911225,1.87
2001,8,ILLINOIS,29.716705016106765,17.602577082374598,34.063506672802575,1.99
2001,8,INDIANA,29.143119266055045,17.551647978253484,32.71151885830785,2.01
2001,8,IOWA,28.660054617676263,16.64525819265144,24.33614697120159,1.83
2001,8,KANSAS,33.27977161500816,19.507667210440456,26.397498640565523,1.96
2001,8,KENTUCKY,30.760757867694284,19.434938985228005,30.177263969171484,2.13
2001,8,MICHIGAN,27.74843320505773,15.322374931280924,31.208905992303464,1.96
2001,8,MINNESOTA,28.04378818737271,15.956687033265446,20.435166327223357,1.73
2001,8,MISSOURI,31.495416461310988,18.977501232134056,25.49482503696402,1.97
2001,8,NEBRASKA,30.39147286821705,17.62434108527132,16.889922480620154,1.9
2001,8,OHIO,29.1603550295858,17.684171597633135,33.251479289940825,2.01
2001,8,OKLAHOMA,35.65597826086957,21.105978260869566,13.065217391304348,
2001,8,SOUTH DAKOTA,28.57795918367347,15.74530612244898,7.224489795918367,1.69
2001,8,TENNESSEE,30.52076923076923,19.266153846153845,29.784615384615385,2.1
2001,8,WISCONSIN,27.74731481481481,16.11033950617284,42.696913580246914,1.93
2001,9,ILLINOIS,24.545353608496256,11.217861453053343,31.034274680183444,1.94
2001,9,INDIANA,24.184593539226128,11.241285055023074,32.37770678026269,1.93
2001,9,IOWA,22.58779054916986,10.042401021711369,34.35019157088123,1.81
2001,9,KANSAS,26.37354685646501,13.195907473309608,40.479833926453146,1.99
2001,9,KENTUCKY,26.01635135135135,12.919256756756758,21.924324324324324,2.0
2001,9,MICHIGAN,20.76481481481481,8.979513888888889,36.94675925925926,1.93
2001,9,MINNESOTA,21.327190542420027,9.501599443671768,25.45271210013908,1.69
2001,9,MISSOURI,25.798691442030883,12.474797173514784,29.35671290238157,1.98
2001,9,NEBRASKA,24.662137404580157,11.501679389312978,34.10839694656489,1.87
2001,9,OHIO,23.45248120300752,11.297593984962406,32.457142857142856,1.97
2001,9,OKLAHOMA,28.763366336633663,14.571287128712871,21.8960396039604,
2001,9,SOUTH DAKOTA,22.267782426778243,9.820920502092047,22.188284518828453,1.65
2001,9,TENNESSEE,26.013409961685824,12.880076628352487,28.54022988505747,1.97
2001,9,WISCONSIN,20.786100628930814,9.23751572327044,42.74245283018868,1.95
2001,10,ILLINOIS,18.02731673582296,6.073951129552789,51.93130474873213,1.85
2001,10,INDIANA,18.080861581920903,6.2928319209039545,63.87535310734463,1.83
2001,10,IOWA,16.590798144984134,3.698218208445204,20.62265072003905,1.78
2001,10,KANSAS,20.827178303519908,7.178995960761686,20.41834968263128,2.02
2001,10,KENTUCKY,20.986891628812455,6.587086307592473,41.89876703439325,1.9
2001,10,MICHIGAN,14.950483229107448,4.6222853894258105,50.7328027288232,1.82
2001,10,MINNESOTA,14.951443569553806,2.577952755905512,8.881233595800525,1.68
2001,10,MISSOURI,19.96647201946472,6.595498783454988,35.50583941605839,1.81
2001,10,NEBRASKA,18.819857142857146,4.843857142857143,15.09,1.86
2001,10,OHIO,17.91837916063676,6.507814761215629,49.434153400868304,1.86
2001,10,OKLAHOMA,22.838388625592412,8.64739336492891,29.78199052132701,
2001,10,SOUTH DAKOTA,16.352777777777778,1.999537037037037,8.962962962962964,1.56
2001,10,TENNESSEE,21.22885375494071,5.8075098814229245,40.60869565217392,1.86
2001,10,WISCONSIN,14.529076923076923,3.631815384615384,21.840615384615383,1.86
2001,11,ILLINOIS,16.14289055191768,3.4947380729653883,22.57670720299345,1.91
2001,11,INDIANA,16.00742591931453,3.183898607640129,28.28525526597644,1.83
2001,11,IOWA,15.11294087794976,2.5704136006089824,13.180157320477036,1.8
2001,11,KANSAS,17.02028818443804,4.474466858789626,6.692219020172911,1.99
2001,11,KENTUCKY,18.550228310502284,3.5517938682322243,42.448140900195696,1.94
2001,11,MICHIGAN,12.329171332586789,2.592609182530795,18.907614781634937,1.75
2001,11,MINNESOTA,13.6125,1.702900552486188,26.05732044198895,1.71
2001,11,MISSOURI,17.00912748302741,4.122806135277848,21.526276087503145,1.82
2001,11,NEBRASKA,16.16763358778626,2.820763358778626,14.419847328244275,1.85
2001,11,OHIO,15.720937042459736,2.688433382137628,23.63396778916545,1.86
2001,11,OKLAHOMA,18.603960396039604,6.255445544554455,17.415841584158414,
2001,11,SOUTH DAKOTA,13.419327731092435,-0.0294117647058823,28.974789915966387,1.62
2001,11,TENNESSEE,19.422692307692305,2.943076923076924,39.72307692307693,2.28
2001,11,WISCONSIN,12.693917654398003,2.083499688084841,16.943231441048034,1.84
2001,12,ILLINOIS,6.552836158192091,-2.469875706214689,21.71593220338983,2.06
2001,12,INDIANA,7.045843394273888,-1.3232493963435668,29.93894446360814,1.92
2001,12,IOWA,4.38401352330355,-5.790461241246076,7.104081139821299,1.91
2001,12,KANSAS,10.14494892167991,-2.7434165720771846,5.043132803632236,2.04
2001,12,KENTUCKY,11.014237967914438,0.4572860962566845,40.85895721925134,2.16
2001,12,MICHIGAN,4.745143787303309,-2.393271839392295,20.63266413456321,1.9
2001,12,MINNESOTA,1.500066622251832,-7.165156562291806,5.268487674883411,1.79
2001,12,MISSOURI,9.105203171456887,-1.9056739345887015,22.945490584737364,1.89
2001,12,NEBRASKA,6.537142857142857,-5.780142857142857,3.4828571428571427,1.91
2001,12,OHIO,7.224152542372881,-0.9741525423728814,26.49858757062147,1.99
2001,12,OKLAHOMA,11.833175355450235,-1.237914691943128,13.056872037914692,
2001,12,SOUTH DAKOTA,1.0208163265306125,-8.782857142857143,0.6816326530612244,1.72
2001,12,TENNESSEE,12.213709677419354,0.8036290322580646,40.774193548387096,2.24
2001,12,WISCONSIN,3.0609375,-5.359681372549019,9.895526960784316,1.91
2002,1,ILLINOIS,5.760731211916046,-4.429925524712255,17.63439404197698,2.01
2002,1,INDIANA,6.038905982905983,-3.5797948717948715,18.11589743589744,1.98
2002,1,IOWA,3.8661836935167,-7.777259332023576,3.564587426326129,1.88
2002,1,KANSAS,7.952568493150685,-5.4638698630137,13.752853881278538,2.01
2002,1,KENTUCKY,9.452072192513368,-1.8391042780748663,34.28475935828877,2.15
2002,1,MICHIGAN,2.741226666666667,-4.865066666666666,10.439466666666666,1.93
2002,1,MINNESOTA,0.3005505849965589,-9.512525808671716,3.3179628355127324,1.81
2002,1,MISSOURI,7.639450902794954,-4.554761315854564,22.99703190699975,1.96
2002,1,NEBRASKA,5.497099236641221,-7.72473282442748,3.7419847328244273,1.92
2002,1,OHIO,5.8590140845070415,-3.4749295774647884,15.746478873239436,2.03
2002,1,OKLAHOMA,10.356666666666667,-3.4422222222222225,22.822222222222223,
2002,1,SOUTH DAKOTA,1.3319327731092436,-10.840756302521008,1.7857142857142858,1.72
2002,1,TENNESSEE,10.154618473895582,-2.1991967871485945,51.92369477911647,2.26
2002,1,WISCONSIN,1.494650328750747,-7.350448296473401,5.248655110579797,1.86
2002,2,ILLINOIS,6.233081190115986,-4.097125567322239,16.418305597579426,1.98
2002,2,INDIANA,7.076828801225584,-3.620566832631176,21.12792033703562,1.99
2002,2,IOWA,4.258863698443048,-7.134170991532368,7.966675771647091,1.86
2002,2,KANSAS,9.375307045895282,-3.93038138332256,5.091144149967679,1.95
