YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","AREA PLANTED in ACRES","PRODUCTION in $","PRODUCTION in TONS","YIELD in TONS / ACRE","PRICE RECEIVED in $ / BU"
2000,ALABAMA,01," "," ",YEAR,CORN," "," "," ","230,000"," "," "," "," "
2000,ARIZONA,04," "," ",YEAR,CORN," "," "," ","56,000"," "," "," "," "
2000,ARKANSAS,05," "," ",YEAR,CORN," "," "," ","180,000"," "," "," "," "
2000,CALIFORNIA,06," "," ",YEAR,CORN," "," "," ","540,000"," "," "," "," "
2000,COLORADO,08," "," ",YEAR,CORN," "," "," ","1,350,000"," "," "," "," "
2000,CONNECTICUT,09," "," ",YEAR,CORN," "," "," ","36,000"," "," "," "," "
2000,DELAWARE,10," "," ",YEAR,CORN," "," "," ","165,000"," "," "," "," "
2000,FLORIDA,12," "," ",YEAR,CORN," "," "," ","85,000"," "," "," "," "
2000,GEORGIA,13," "," ",YEAR,CORN," "," "," ","360,000"," "," "," "," "
2000,IDAHO,16," "," ",YEAR,CORN," "," "," ","195,000"," "," "," "," "
2000,ILLINOIS,17," "," ",YEAR,CORN," "," "," ","11,200,000"," "," "," "," "
2000,INDIANA,18," "," ",YEAR,CORN," "," "," ","5,700,000"," "," "," "," "
2000,IOWA,19," "," ",YEAR,CORN," "," "," ","12,300,000"," "," "," "," "
2000,KANSAS,20," "," ",YEAR,CORN," "," "," ","3,450,000"," "," "," "," "
2000,KENTUCKY,21," "," ",YEAR,CORN," "," "," ","1,330,000"," "," "," "," "
2000,LOUISIANA,22," "," ",YEAR,CORN," "," "," ","380,000"," "," "," "," "
2000,MAINE,23," "," ",YEAR,CORN," "," "," ","29,000"," "," "," "," "
2000,MARYLAND,24," "," ",YEAR,CORN," "," "," ","480,000"," "," "," "," "
2000,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," ","25,000"," "," "," "," "
2000,MICHIGAN,26," "," ",YEAR,CORN," "," "," ","2,200,000"," "," "," "," "
2000,MINNESOTA,27," "," ",YEAR,CORN," "," "," ","7,200,000"," "," "," "," "
2000,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," ","390,000"," "," "," "," "
2000,MISSOURI,29," "," ",YEAR,CORN," "," "," ","2,850,000"," "," "," "," "
2000,MONTANA,30," "," ",YEAR,CORN," "," "," ","60,000"," "," "," "," "
2000,NEBRASKA,31," "," ",YEAR,CORN," "," "," ","8,500,000"," "," "," "," "
2000,NEVADA,32," "," ",YEAR,CORN," "," "," ","4,000"," "," "," "," "
2000,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," ","15,000"," "," "," "," "
2000,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," ","90,000"," "," "," "," "
2000,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," ","150,000"," "," "," "," "
2000,"NEW YORK",36," "," ",YEAR,CORN," "," "," ","980,000"," "," "," "," "
2000,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," ","730,000"," "," "," "," "
2000,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," ","1,080,000"," "," "," "," "
2000,OHIO,39," "," ",YEAR,CORN," "," "," ","3,550,000"," "," "," "," "
2000,OKLAHOMA,40," "," ",YEAR,CORN," "," "," ","270,000"," "," "," "," "
2000,OREGON,41," "," ",YEAR,CORN," "," "," ","55,000"," "," "," "," "
2000,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," ","1,550,000"," "," "," "," "
2000,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," ","2,000"," "," "," "," "
2000,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," ","310,000"," "," "," "," "
2000,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," ","4,300,000"," "," "," "," "
2000,TENNESSEE,47," "," ",YEAR,CORN," "," "," ","650,000"," "," "," "," "
2000,TEXAS,48," "," ",YEAR,CORN," "," "," ","2,100,000"," "," "," "," "
2000,UTAH,49," "," ",YEAR,CORN," "," "," ","64,000"," "," "," "," "
2000,VERMONT,50," "," ",YEAR,CORN," "," "," ","90,000"," "," "," "," "
2000,VIRGINIA,51," "," ",YEAR,CORN," "," "," ","470,000"," "," "," "," "
2000,WASHINGTON,53," "," ",YEAR,CORN," "," "," ","155,000"," "," "," "," "
