YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"GRAIN in $ / BU"
2001,COLORADO,08," "," ",JAN,CORN,2.16
2001,COLORADO,08," "," ",FEB,CORN,2.09
2001,COLORADO,08," "," ",MAR,CORN,2.12
2001,COLORADO,08," "," ",APR,CORN,2.11
2001,COLORADO,08," "," ",MAY,CORN,1.98
2001,COLORADO,08," "," ",JUN,CORN,2
2001,COLORADO,08," "," ",JUL,CORN,2.1
2001,COLORADO,08," "," ",AUG,CORN,2.17
2001,COLORADO,08," "," ",SEP,CORN,2.08
2001,COLORADO,08," "," ",OCT,CORN,2.12
2001,COLORADO,08," "," ",NOV,CORN,1.98
2001,COLORADO,08," "," ",DEC,CORN,2.05
2001,GEORGIA,13," "," ",JAN,CORN,2.54
2001,GEORGIA,13," "," ",FEB,CORN,2.58
2001,GEORGIA,13," "," ",MAR,CORN,2.57
2001,GEORGIA,13," "," ",APR,CORN,2.67
2001,GEORGIA,13," "," ",MAY,CORN,2.31
2001,GEORGIA,13," "," ",JUN,CORN,2.28
2001,GEORGIA,13," "," ",JUL,CORN,2.37
2001,GEORGIA,13," "," ",AUG,CORN,2.29
2001,GEORGIA,13," "," ",SEP,CORN,2.18
2001,GEORGIA,13," "," ",OCT,CORN,2.03
2001,ILLINOIS,17," "," ",JAN,CORN,1.97
2001,ILLINOIS,17," "," ",FEB,CORN,2
2001,ILLINOIS,17," "," ",MAR,CORN,2
2001,ILLINOIS,17," "," ",APR,CORN,1.92
2001,ILLINOIS,17," "," ",MAY,CORN,1.86
2001,ILLINOIS,17," "," ",JUN,CORN,1.83
2001,ILLINOIS,17," "," ",JUL,CORN,1.95
2001,ILLINOIS,17," "," ",AUG,CORN,1.99
2001,ILLINOIS,17," "," ",SEP,CORN,1.94
2001,ILLINOIS,17," "," ",OCT,CORN,1.85
2001,ILLINOIS,17," "," ",NOV,CORN,1.91
2001,ILLINOIS,17," "," ",DEC,CORN,2.06
2001,INDIANA,18," "," ",JAN,CORN,2.03
2001,INDIANA,18," "," ",FEB,CORN,2.01
2001,INDIANA,18," "," ",MAR,CORN,2.02
2001,INDIANA,18," "," ",APR,CORN,1.98
2001,INDIANA,18," "," ",MAY,CORN,1.95
2001,INDIANA,18," "," ",JUN,CORN,1.84
2001,INDIANA,18," "," ",JUL,CORN,1.97
2001,INDIANA,18," "," ",AUG,CORN,2.01
2001,INDIANA,18," "," ",SEP,CORN,1.93
2001,INDIANA,18," "," ",OCT,CORN,1.83
2001,INDIANA,18," "," ",NOV,CORN,1.83
2001,INDIANA,18," "," ",DEC,CORN,1.92
2001,IOWA,19," "," ",JAN,CORN,1.86
2001,IOWA,19," "," ",FEB,CORN,1.87
2001,IOWA,19," "," ",MAR,CORN,1.88
2001,IOWA,19," "," ",APR,CORN,1.83
2001,IOWA,19," "," ",MAY,CORN,1.72
2001,IOWA,19," "," ",JUN,CORN,1.66
2001,IOWA,19," "," ",JUL,CORN,1.79
2001,IOWA,19," "," ",AUG,CORN,1.83
2001,IOWA,19," "," ",SEP,CORN,1.81
2001,IOWA,19," "," ",OCT,CORN,1.78
2001,IOWA,19," "," ",NOV,CORN,1.8
2001,IOWA,19," "," ",DEC,CORN,1.91
2001,KANSAS,20," "," ",JAN,CORN,2.07
2001,KANSAS,20," "," ",FEB,CORN,2.02
2001,KANSAS,20," "," ",MAR,CORN,2.07
2001,KANSAS,20," "," ",APR,CORN,2.02
2001,KANSAS,20," "," ",MAY,CORN,1.88
2001,KANSAS,20," "," ",JUN,CORN,1.92
2001,KANSAS,20," "," ",JUL,CORN,2.03
2001,KANSAS,20," "," ",AUG,CORN,1.96
2001,KANSAS,20," "," ",SEP,CORN,1.99
2001,KANSAS,20," "," ",OCT,CORN,2.02
2001,KANSAS,20," "," ",NOV,CORN,1.99
2001,KANSAS,20," "," ",DEC,CORN,2.04
2001,KENTUCKY,21," "," ",JAN,CORN,2.18
2001,KENTUCKY,21," "," ",FEB,CORN,2.28
2001,KENTUCKY,21," "," ",MAR,CORN,2.2
2001,KENTUCKY,21," "," ",APR,CORN,2.08
2001,KENTUCKY,21," "," ",MAY,CORN,2.08
2001,KENTUCKY,21," "," ",JUN,CORN,2.07
2001,KENTUCKY,21," "," ",JUL,CORN,2.12
2001,KENTUCKY,21," "," ",AUG,CORN,2.13
2001,KENTUCKY,21," "," ",SEP,CORN,2
2001,KENTUCKY,21," "," ",OCT,CORN,1.9
2001,KENTUCKY,21," "," ",NOV,CORN,1.94
2001,KENTUCKY,21," "," ",DEC,CORN,2.16
2001,MICHIGAN,26," "," ",JAN,CORN,2.04
2001,MICHIGAN,26," "," ",FEB,CORN,1.96
2001,MICHIGAN,26," "," ",MAR,CORN,1.95
2001,MICHIGAN,26," "," ",APR,CORN,1.9
2001,MICHIGAN,26," "," ",MAY,CORN,1.86
2001,MICHIGAN,26," "," ",JUN,CORN,1.75
2001,MICHIGAN,26," "," ",JUL,CORN,1.89
2001,MICHIGAN,26," "," ",AUG,CORN,1.96
2001,MICHIGAN,26," "," ",SEP,CORN,1.93
2001,MICHIGAN,26," "," ",OCT,CORN,1.82
2001,MICHIGAN,26," "," ",NOV,CORN,1.75
2001,MICHIGAN,26," "," ",DEC,CORN,1.9
2001,MINNESOTA,27," "," ",JAN,CORN,1.81
2001,MINNESOTA,27," "," ",FEB,CORN,1.8
2001,MINNESOTA,27," "," ",MAR,CORN,1.76
2001,MINNESOTA,27," "," ",APR,CORN,1.77
2001,MINNESOTA,27," "," ",MAY,CORN,1.68
2001,MINNESOTA,27," "," ",JUN,CORN,1.67
2001,MINNESOTA,27," "," ",JUL,CORN,1.72
2001,MINNESOTA,27," "," ",AUG,CORN,1.73
2001,MINNESOTA,27," "," ",SEP,CORN,1.69
2001,MINNESOTA,27," "," ",OCT,CORN,1.68
2001,MINNESOTA,27," "," ",NOV,CORN,1.71
2001,MINNESOTA,27," "," ",DEC,CORN,1.79
2001,MISSOURI,29," "," ",JAN,CORN,1.92
2001,MISSOURI,29," "," ",FEB,CORN,2.01
2001,MISSOURI,29," "," ",MAR,CORN,1.99
2001,MISSOURI,29," "," ",APR,CORN,1.9
2001,MISSOURI,29," "," ",MAY,CORN,1.8
2001,MISSOURI,29," "," ",JUN,CORN,1.8
2001,MISSOURI,29," "," ",JUL,CORN,1.9
2001,MISSOURI,29," "," ",AUG,CORN,1.97
2001,MISSOURI,29," "," ",SEP,CORN,1.98
2001,MISSOURI,29," "," ",OCT,CORN,1.81
2001,MISSOURI,29," "," ",NOV,CORN,1.82
2001,MISSOURI,29," "," ",DEC,CORN,1.89
2001,NEBRASKA,31," "," ",JAN,CORN,1.97
2001,NEBRASKA,31," "," ",FEB,CORN,1.95
2001,NEBRASKA,31," "," ",MAR,CORN,1.98
2001,NEBRASKA,31," "," ",APR,CORN,1.95
2001,NEBRASKA,31," "," ",MAY,CORN,1.81
2001,NEBRASKA,31," "," ",JUN,CORN,1.77
2001,NEBRASKA,31," "," ",JUL,CORN,1.86
2001,NEBRASKA,31," "," ",AUG,CORN,1.9
2001,NEBRASKA,31," "," ",SEP,CORN,1.87
2001,NEBRASKA,31," "," ",OCT,CORN,1.86
2001,NEBRASKA,31," "," ",NOV,CORN,1.85
2001,NEBRASKA,31," "," ",DEC,CORN,1.91
2001,"NORTH CAROLINA",37," "," ",JAN,CORN,2.38
2001,"NORTH CAROLINA",37," "," ",FEB,CORN,2.36
2001,"NORTH CAROLINA",37," "," ",MAR,CORN,2.46
2001,"NORTH CAROLINA",37," "," ",APR,CORN,2.32
2001,"NORTH CAROLINA",37," "," ",MAY,CORN,2.28
2001,"NORTH CAROLINA",37," "," ",JUN,CORN,2.14
2001,"NORTH CAROLINA",37," "," ",JUL,CORN,2.3
2001,"NORTH CAROLINA",37," "," ",AUG,CORN,2.14
2001,"NORTH CAROLINA",37," "," ",SEP,CORN,2.16
2001,"NORTH CAROLINA",37," "," ",OCT,CORN,2.18
2001,"NORTH CAROLINA",37," "," ",NOV,CORN,2.29
2001,"NORTH CAROLINA",37," "," ",DEC,CORN,2.45
2001,"NORTH DAKOTA",38," "," ",JAN,CORN,1.62
2001,"NORTH DAKOTA",38," "," ",FEB,CORN,1.65
2001,"NORTH DAKOTA",38," "," ",MAR,CORN,1.72
2001,"NORTH DAKOTA",38," "," ",APR,CORN,1.69
2001,"NORTH DAKOTA",38," "," ",MAY,CORN,1.58
2001,"NORTH DAKOTA",38," "," ",JUN,CORN,1.63
2001,"NORTH DAKOTA",38," "," ",JUL,CORN,1.72
2001,"NORTH DAKOTA",38," "," ",AUG,CORN,1.67
2001,"NORTH DAKOTA",38," "," ",SEP,CORN,1.77
2001,"NORTH DAKOTA",38," "," ",OCT,CORN,1.72
2001,"NORTH DAKOTA",38," "," ",NOV,CORN,1.66
2001,"NORTH DAKOTA",38," "," ",DEC,CORN,1.79
2001,OHIO,39," "," ",JAN,CORN,2.08
2001,OHIO,39," "," ",FEB,CORN,2.01
2001,OHIO,39," "," ",MAR,CORN,2
2001,OHIO,39," "," ",APR,CORN,1.89
2001,OHIO,39," "," ",MAY,CORN,1.83
2001,OHIO,39," "," ",JUN,CORN,1.8
2001,OHIO,39," "," ",JUL,CORN,1.95
2001,OHIO,39," "," ",AUG,CORN,2.01
2001,OHIO,39," "," ",SEP,CORN,1.97
2001,OHIO,39," "," ",OCT,CORN,1.86
2001,OHIO,39," "," ",NOV,CORN,1.86
2001,OHIO,39," "," ",DEC,CORN,1.99
2001,PENNSYLVANIA,42," "," ",JAN,CORN,2.18
2001,PENNSYLVANIA,42," "," ",FEB,CORN,2.35
2001,PENNSYLVANIA,42," "," ",MAR,CORN,2.3
2001,PENNSYLVANIA,42," "," ",APR,CORN,2.28
2001,PENNSYLVANIA,42," "," ",MAY,CORN,2.31
2001,PENNSYLVANIA,42," "," ",JUN,CORN,2.25
2001,PENNSYLVANIA,42," "," ",JUL,CORN,2.38
2001,PENNSYLVANIA,42," "," ",AUG,CORN,2.33
2001,PENNSYLVANIA,42," "," ",SEP,CORN,2.32
2001,PENNSYLVANIA,42," "," ",OCT,CORN,2.14
2001,PENNSYLVANIA,42," "," ",NOV,CORN,2.22
2001,PENNSYLVANIA,42," "," ",DEC,CORN,2.35
2001,"SOUTH DAKOTA",46," "," ",JAN,CORN,1.67
2001,"SOUTH DAKOTA",46," "," ",FEB,CORN,1.75
2001,"SOUTH DAKOTA",46," "," ",MAR,CORN,1.69
2001,"SOUTH DAKOTA",46," "," ",APR,CORN,1.68
