YEAR,MONTH,STATE,TMAX,TMIN,PRCP,PRICE
2001,1,ILLINOIS,-0.6069682273173027,-0.4492410381518501,-0.8108007724639729,-0.8696969696969697
2001,1,INDIANA,-0.5726203461004026,-0.40125616430237104,-0.8742240514744983,-0.8515151515151516
2001,1,IOWA,-0.6992075995420857,-0.5825586218529725,-0.8308308177390668,-0.903030303030303
2001,1,KANSAS,-0.45169766009516277,-0.3822299350347437,-0.8049696774104736,-0.8393939393939395
2001,1,KENTUCKY,-0.40662792269276393,-0.3065957161979519,-0.7695577013118801,-0.806060606060606
2001,1,MICHIGAN,-0.6363728405293643,-0.4150381609234784,-0.8900925156007008,-0.8484848484848485
2001,1,MINNESOTA,-0.7507571342433997,-0.6476534295338077,-0.8552833831317761,-0.9181818181818181
2001,1,MISSOURI,-0.4857672352602387,-0.3842792047797392,-0.7472111955074001,-0.8848484848484849
2001,1,NEBRASKA,-0.5614738280496159,-0.4796719926925226,-0.8447816760737795,-0.8696969696969697
2001,1,OHIO,-0.5606860775189583,-0.38291352485283775,-0.8791861833882018,-0.8363636363636363
2001,1,OKLAHOMA,-0.3364062255910294,-0.29682651755793055,-0.7063283810887087,-0.3363636363636364
2001,1,SOUTH DAKOTA,-0.7436195398796053,-0.6575453850518522,-0.8357975661149449,-0.9606060606060606
2001,1,TENNESSEE,-0.39179276606444025,-0.2937817702926382,-0.576779644748259,-0.796969696969697
2001,1,WISCONSIN,-0.6918616927842283,-0.5800305483289342,-0.8564352567974478,-0.8939393939393939
2001,2,ILLINOIS,-0.4654188520300916,-0.3516262892715731,-0.5819337337513432,-0.8606060606060606
2001,2,INDIANA,-0.4068622312328494,-0.26246300901750275,-0.6269640910135987,-0.8575757575757577
2001,2,IOWA,-0.7535928372719236,-0.6709315005677973,-0.6931663655424668,-0.8999999999999999
2001,2,KANSAS,-0.39471664550742724,-0.33164905046040055,-0.4941446138016159,-0.8545454545454545
2001,2,KENTUCKY,-0.1722223238530482,-0.07425871752234617,-0.41692427915008434,-0.7757575757575759
2001,2,MICHIGAN,-0.6178386623262064,-0.4312701155884306,-0.6429799383697805,-0.8727272727272727
2001,2,MINNESOTA,-0.9016376180698171,-0.897381876753034,-0.8105568359355564,-0.9212121212121211
2001,2,MISSOURI,-0.35441149567234964,-0.28383299575122567,-0.42562641857223726,-0.8575757575757577
2001,2,NEBRASKA,-0.6865359659181108,-0.5868025933989081,-0.7136269769141724,-0.8757575757575757
2001,2,OHIO,-0.40090668826396747,-0.24567413570336835,-0.7709711927111054,-0.8575757575757577
2001,2,OKLAHOMA,-0.19275872139642464,-0.14937213413916414,-0.4287106264852838,-0.3159090909090909
2001,2,SOUTH DAKOTA,-0.9016514541491583,-0.8848953914357753,-0.6707885748870228,-0.9363636363636363
2001,2,TENNESSEE,-0.13684630011586546,-0.06864212602242747,-0.1933243770789862,-0.7636363636363637
2001,2,WISCONSIN,-0.7474140943388758,-0.6568678320674092,-0.7437979467136503,-0.9121212121212121
2001,3,ILLINOIS,-0.2954768010884045,-0.20902803694246946,-0.8530763827467982,-0.8606060606060606
2001,3,INDIANA,-0.29222387990985227,-0.1899740630979791,-0.8902373713824359,-0.8545454545454545
2001,3,IOWA,-0.48374673833672044,-0.34235188831389496,-0.8392799112437717,-0.896969696969697
2001,3,KANSAS,-0.16421620289600297,-0.12611433311458747,-0.7377886877023601,-0.8393939393939395
2001,3,KENTUCKY,-0.15046969888262046,-0.09267064921512203,-0.6595235761852337,-0.7999999999999999
2001,3,MICHIGAN,-0.4482009005054719,-0.31863001616015496,-0.9312292447508665,-0.8757575757575757
2001,3,MINNESOTA,-0.5876557963223101,-0.46265839774340356,-0.8816319879490053,-0.9333333333333333
2001,3,MISSOURI,-0.1950021631865081,-0.1505903239976499,-0.790253053608862,-0.8636363636363636
2001,3,NEBRASKA,-0.3426530599290984,-0.25739834020788344,-0.8244874972177034,-0.8666666666666667
2001,3,OHIO,-0.3040177461372366,-0.18474965112160047,-0.8723581720063873,-0.8606060606060606
2001,3,OKLAHOMA,-0.029956848814893133,-0.017790259785045316,-0.8149459645547906,-0.3212121212121213
2001,3,SOUTH DAKOTA,-0.5819912464913952,-0.4608613647905906,-0.8399087280497505,-0.9545454545454546
2001,3,TENNESSEE,-0.14493076018020967,-0.08273988521774764,-0.6241983473511779,-0.7727272727272727
2001,3,WISCONSIN,-0.47437008990013885,-0.35077967148790967,-0.9261645122062324,-0.9181818181818181
2001,4,ILLINOIS,0.23861220525264915,0.2656566007595102,-0.6489084263301557,-0.8848484848484849
2001,4,INDIANA,0.22075812211428525,0.25388431094318686,-0.6611477832899573,-0.8666666666666667
2001,4,IOWA,0.1384886164945246,0.1407349419797148,-0.5456639719189637,-0.9121212121212121
2001,4,KANSAS,0.31297512319435017,0.3560423211736732,-0.6637240566459482,-0.8545454545454545
2001,4,KENTUCKY,0.3240340527355705,0.3490107517489926,-0.7459669301307148,-0.8363636363636363
2001,4,MICHIGAN,0.017387922034736936,0.054009019454189316,-0.6100831201003709,-0.8909090909090909
2001,4,MINNESOTA,-0.040459199291278614,0.05093536136597031,-0.20613443776307383,-0.9303030303030303
2001,4,MISSOURI,0.30514733770692737,0.36066621873654603,-0.6247102915697078,-0.8909090909090909
2001,4,NEBRASKA,0.20635441393360976,0.17188977672388261,-0.6474812855430674,-0.8757575757575757
2001,4,OHIO,0.18792371676244213,0.1995552167700133,-0.607072970943352,-0.8939393939393939
2001,4,OKLAHOMA,0.4130285319587995,0.4668618531145434,-0.7670315582147701,-0.28409090909090917
2001,4,SOUTH DAKOTA,-0.018333443565588414,0.025707916412599965,-0.21774977157051734,-0.9575757575757575
2001,4,TENNESSEE,0.32945803425228537,0.3397540169330672,-0.755280240942953,-0.7727272727272727
2001,4,WISCONSIN,0.024528408258385204,0.08364223698006104,-0.49383109424404836,-0.906060606060606
2001,5,ILLINOIS,0.38870442894945734,0.47584039061566186,-0.46296769703181084,-0.903030303030303
2001,5,INDIANA,0.3872029778578413,0.45967634547410263,-0.48852837979662667,-0.8757575757575757
2001,5,IOWA,0.28157395458596224,0.4195532574718277,-0.16244246371400828,-0.9454545454545454
2001,5,KANSAS,0.4455658597543889,0.5448227204544248,-0.44306146879789643,-0.896969696969697
2001,5,KENTUCKY,0.4632567483815041,0.5332698625611331,-0.47747354116614016,-0.8363636363636363
2001,5,MICHIGAN,0.25369337433525596,0.3335377881179245,-0.293212511078464,-0.903030303030303
2001,5,MINNESOTA,0.2385313195682054,0.371866332895234,-0.47117946149749756,-0.9575757575757575
2001,5,MISSOURI,0.41618161051139013,0.5299812345268529,-0.3444528109391878,-0.9212121212121211
2001,5,NEBRASKA,0.3609129089136064,0.46427360941650975,0.12154274077869798,-0.9181818181818181
2001,5,OHIO,0.35375161360517415,0.4494253769704417,-0.3381250460325739,-0.9121212121212121
2001,5,OKLAHOMA,0.49750443533514244,0.6009682348193887,-0.10367373776831501,-0.2719696969696972
2001,5,SOUTH DAKOTA,0.26640463612530974,0.3464668162496837,-0.6897517344561337,-1.0
2001,5,TENNESSEE,0.45582824921866905,0.5140558254401272,-0.3807385914149246,-0.7424242424242424
2001,5,WISCONSIN,0.22870150222583951,0.3368539234211943,-0.36601968408007357,-0.9272727272727272
2001,6,ILLINOIS,0.4963689890376636,0.6287365366254541,-0.5570472471008778,-0.9121212121212121
2001,6,INDIANA,0.4813646566229287,0.624239853848215,-0.4938158944785722,-0.9090909090909091
2001,6,IOWA,0.46761740877449653,0.5979816488994151,-0.4926873763078913,-0.9636363636363636
2001,6,KANSAS,0.5643176237399102,0.7103078085065654,-0.17348863663793102,-0.8848484848484849
2001,6,KENTUCKY,0.5653248949554565,0.6568769688680121,-0.5265864810942964,-0.8393939393939395
2001,6,MICHIGAN,0.40688066250344035,0.503321158715884,-0.5822528187258922,-0.9363636363636363
2001,6,MINNESOTA,0.4591392496256118,0.5804874233427013,-0.46811244107428784,-0.9606060606060606
2001,6,MISSOURI,0.5414371305336362,0.6854150174685267,-0.22854269852534825,-0.9212121212121211
2001,6,NEBRASKA,0.5223690411124436,0.6435556035306765,-0.489506166484,-0.9303030303030303
2001,6,OHIO,0.4794860186468807,0.625548931975066,-0.591109252834248,-0.9212121212121211
2001,6,OKLAHOMA,0.6766990678075074,0.8057873353050503,-0.5648410130747519,-0.20606060606060606
2001,6,SOUTH DAKOTA,0.47737194418279805,0.563116903534859,-0.5450359662940657,-0.9878787878787878
2001,6,TENNESSEE,0.5564575900895011,0.652075784268785,-0.4908106150892865,-0.7272727272727273
2001,6,WISCONSIN,0.38854912099565453,0.5343385850208953,-0.38371325911376186,-0.9090909090909091
2001,7,ILLINOIS,0.6450404905041395,0.7809884321417293,-0.549789090525672,-0.8757575757575757
2001,7,INDIANA,0.5995973151930659,0.7272830726673032,-0.338353808562207,-0.8696969696969697
2001,7,IOWA,0.6234123627234524,0.7804440354277342,-0.6179393850769335,-0.9242424242424242
2001,7,KANSAS,0.7966823971211664,0.9495889023962464,-0.5393266787762208,-0.8515151515151516
2001,7,KENTUCKY,0.6678782795378783,0.8068723871505126,-0.33031840415294544,-0.8242424242424242
2001,7,MICHIGAN,0.5449491351748544,0.5855983041543175,-0.7885017168967918,-0.8939393939393939
2001,7,MINNESOTA,0.604722948148423,0.7222335254241039,-0.6709973817288135,-0.9454545454545454
2001,7,MISSOURI,0.6987327775350921,0.8867415391168415,-0.40662863315129516,-0.8909090909090909
2001,7,NEBRASKA,0.6854918960296145,0.8623752096931304,-0.558933506626552,-0.903030303030303
2001,7,OHIO,0.5953981236058375,0.725068495506105,-0.4408011621971776,-0.8757575757575757
2001,7,OKLAHOMA,0.8852294540691711,0.9968409831646837,-0.779747996141009,-0.2560606060606061
2001,7,SOUTH DAKOTA,0.5989003241107799,0.7569341974241653,-0.48871781639647527,-0.9545454545454546
2001,7,TENNESSEE,0.6554311344980409,0.8144505781523751,-0.44284527822027164,-0.7393939393939394
