Date,Range_W_F1,Range_W_F2,Range_C_F1,Range_C_F2,Range_O_F1,Range_O_F2
03-01-1877,0.010184185,0.006172859,0.004484312,0.004065046,0.008683123,0.008486614
04-01-1877,0.004713284,0.00620157,0.00449439,0.002034589,0.008608375,NaN
05-01-1877,0.005527057,0.004676548,0.00224972,0.002038737,0.008608375,0.002828856
06-01-1877,0.00790518,0.007800352,0.006749182,0.002034589,0.011461444,NaN
08-01-1877,0.010963305,0.012364918,0.013363228,0.006091389,0.002828856,NaN
09-01-1877,0.007757991,0.007651147,0.013393057,0.004073325,0.002828856,0.00836825
10-01-1877,0.007722046,0.007627802,0.011274077,0.006141268,0.002828856,0.00836825
11-01-1877,0.017121041,0.016884515,0.0067644,0.012320484,0.002844952,0.002812941
12-01-1877,0.00853049,0.007639457,0.006795043,0.018538121,NaN,NaN
13-01-1877,0.007686433,0.006815627,0.00451468,0.006103783,NaN,NaN
15-01-1877,0.015314235,0.015843409,0.004504512,0.004065046,0.005649733,0.002766253
16-01-1877,0.011463633,0.010534334,0.002254792,0.006091389,0.00836825,0.00836825
17-01-1877,0.013814494,0.012835208,0.011376687,0.008180005,0.002805051,0.002743486
18-01-1877,0.007001195,0.006893938,0.004587164,0.004115232,0.002812941,0.002758622
19-01-1877,0.009942721,0.009792922,0.002259888,0.002034589,0.002805051,0.005494519
20-01-1877,0.010662706,0.008982096,0.004535155,0.004073325,0.002805051,0.002743486
22-01-1877,0.009927535,0.009022618,0.00911168,0.008180005,NaN,NaN
23-01-1877,0.006116227,0.006015056,0.015891367,0.008247469,0.00836825,0.005494519
24-01-1877,0.010050336,0.009118604,0.018692133,0.020965128,0.002805051,0.002766253
25-01-1877,0.010946161,0.013062037,0.002344667,0.004210533,NaN,0.002773927
26-01-1877,0.017282441,0.017781682,0.016336419,0.014783796,NaN,NaN
27-01-1877,0.006309169,0.006216026,0.009478744,0.021414095,NaN,NaN
29-01-1877,0.020040751,0.022082916,0.009546612,0.008658063,NaN,0.002820876
30-01-1877,0.009615459,0.013433628,0.009434032,0.019210836,0.002828856,NaN
31-01-1877,0.010395935,0.011815813,0.011778699,0.010649728,0.002828856,0.011173301
01-02-1877,0.012480661,NaN,0.009324077,0.010649728,0.011049836,0.005464494
02-02-1877,0.018089365,0.006968669,0.002361276,0.002157498,NaN,0.002758622
03-02-1877,0.007843177,0.003091193,0.007067167,0.004301082,0.002812941,NaN
05-02-1877,0.014029848,0.007662873,0.013986242,0.014909754,NaN,0.002751033
06-02-1877,0.011543029,0.012176711,0.013986242,0.014909754,NaN,NaN
07-02-1877,0.008490981,0.009181396,0.009456335,0.006472515,NaN,NaN
08-02-1877,0.016000341,0.015106027,0.009434032,0.008658063,NaN,NaN
09-02-1877,0.009844835,0.010502722,0.016929062,0.022124796,NaN,NaN
10-02-1877,0.005329286,0.005273082,0.004819286,0.006615239,NaN,0.002766253
12-02-1877,0.003777866,0.013523873,0.014388737,0.008791265,NaN,0.002766253
13-02-1877,0.006033201,0.00672397,0.002400962,0.008791265,0.005617992,0.002766253
14-02-1877,0.022884294,0.018875608,0.004819286,0.01102547,0.005665738,0.002805051
15-02-1877,0.007581537,0.007490672,0.021506205,0.017467693,0.005649733,0.011173301
16-02-1877,0.008330226,0.008961972,0.009478744,0.008658063,0.011363759,0.008462674
17-02-1877,0.005309076,0.002996257,0.004750603,0.004338402,0.005797118,0.011461444
19-02-1877,0.011342277,0.007468295,0.014285957,0.013043663,0.00290276,0.011494379
20-02-1877,0.017781682,0.016781477,0.004842624,0.008830079,NaN,0.017291497
21-02-1877,0.022082916,0.020202707,0.017136282,0.019978467,0.002998503,NaN
23-02-1877,0.016740128,0.01491979,0.007290433,0.013333531,NaN,0.014771317
24-02-1877,0.008678555,0.009331327,0.007290433,0.008830079,0.011834458,0.00875918
26-02-1877,0.012820688,0.014218249,0.002472189,0.011173301,0.002998503,0.011834458
27-02-1877,0.011391498,0.011218066,0.010050336,0.004535155,0.003016594,0.002980628
28-02-1877,0.018137348,0.018676954,0.010152371,0.013636575,0.006042314,0.005970167
01-03-1877,0.013682306,0.010912033,0.009901071,0.00900907,0.014992785,0.008275909
02-03-1877,0.003985657,0.006172859,0.009685306,0.015573173,NaN,NaN
03-03-1877,0.008077588,0.006269613,0.004938282,0.006779687,NaN,NaN
05-03-1877,0.004053512,0.003926193,0.002478316,0.00911168,NaN,NaN
06-03-1877,0.013838235,0.012618464,0.009950331,0.013698844,0.00297177,NaN
07-03-1877,0.008019289,0.007001195,0.004975135,0.011402632,NaN,NaN
08-03-1877,0.01032985,0.008477893,0.002490661,0.004535155,0.002998503,NaN
09-03-1877,0.015923903,0.013921339,0.012547216,0.011428696,0.012048339,0.005633818
10-03-1877,0.018276234,0.013899838,0.010126669,0.016147986,0.00623055,0.011494379
12-03-1877,0.011209085,0.009316838,0.002541297,0.016260521,0.012384059,0.011494379
13-03-1877,0.013804523,0.010997754,0.005115101,0.01169604,0.003100778,0.002894358
14-03-1877,0.008932256,0.007843177,0.01020417,0.013986242,0.003091193,NaN
15-03-1877,0.005674924,0.006269613,0.010282867,0.014018921,0.009216655,0.011494379
16-03-1877,0.006467282,0.005479466,0.002541297,0.002317498,0.005970167,0.005665738
17-03-1877,0.005698021,0.005513996,0.012837147,0.004694844,NaN,0.005665738
19-03-1877,0.008939515,0.008651253,0.005115101,0.01169604,0.002998503,NaN
20-03-1877,0.017671143,0.015504187,0.007643349,0.013986242,NaN,NaN
21-03-1877,0.005611237,0.005436907,0.00255428,0.004694844,0.003007521,0.002836881
22-03-1877,0.011227063,0.010861239,0.01030937,0.004705891,0.009132484,0.002853069
23-03-1877,0.006359322,0.008464845,NaN,0.002350177,NaN,NaN
24-03-1877,0.00316456,0.003048783,0.00508907,0.01169604,NaN,NaN
26-03-1877,0.010240342,0.011385322,NaN,0.004694844,NaN,NaN
27-03-1877,0.008610621,0.013574869,NaN,0.004694844,0.00315956,0.011494379
28-03-1877,0.009448889,0.013626252,0.01030937,0.009434032,0.025724891,0.011628038
29-03-1877,0.009554213,0.010744539,0.015789802,0.019185241,0.003294896,0.008862687
30-03-1877,0.007168489,0.003835831,0.007863736,0.016726794,NaN,0.00875918
31-03-1877,0.007145723,0.007651147,0.013037994,0.011947573,0.00643089,0.008683123
02-04-1877,0.013793322,0.012176711,0.016726794,0.011919092,0.005780363,NaN
04-04-1877,0.010550211,0.008955284,0.004728141,0.007001195,0.008683123,NaN
05-04-1877,0.012835208,0.010502722,0.009434032,0.01169604,NaN,NaN
06-04-1877,0.00896867,0.016381602,0.01169604,0.006936444,0.002853069,NaN
07-04-1877,0.016236519,0.013914542,0.023202897,0.025201792,0.014104606,NaN
09-04-1877,0.016600886,0.014285957,0.011248713,0.019978467,0.005479466,NaN
10-04-1877,0.022359388,0.021506205,0.029314388,0.015642777,0.019048195,NaN
11-04-1877,0.016997576,0.01408474,0.022223137,0.021930703,0.005347606,0.002677378
12-04-1877,0.021475414,0.021353124,0.026668247,0.026317308,0.008010724,NaN
13-04-1877,0.009908078,0.007017573,0.019715863,0.008658063,0.002670229,NaN
14-04-1877,0.013889112,0.016574965,0.02960047,0.029168735,0.021053409,0.005194817
16-04-1877,0.013698844,0.013605652,0.026559273,0.030092541,0.0104713,0.010416761
17-04-1877,0.020994473,0.019458571,0.053488685,0.052367986,0.010752792,0.013387081
18-04-1877,0.027895812,0.018018506,0.043110124,0.046520016,0.005361943,NaN
19-04-1877,0.010320009,0.014956091,0.014568416,0.026668247,0.015915455,NaN
20-04-1877,0.016304709,0.01342302,0.043296806,0.039383328,0.005361943,0.021053409
21-04-1877,0.02479189,0.026421616,0.01268516,0.018692133,0.00798939,NaN
23-04-1877,0.030008775,0.027824506,0.021009176,0.020534602,NaN,NaN
24-04-1877,0.034401427,0.040175823,0.026505119,0.037890874,0.025708357,0.020202707
25-04-1877,0.075838076,0.068992871,0.054435207,NaN,0.019608471,0.016374635
26-04-1877,0.041797129,0.05815592,0.110665568,NaN,0.048790164,0.052268429
27-04-1877,0.021403909,0.025702349,0.035993603,NaN,0.014888612,0.009478744
28-04-1877,0.017595762,0.015003167,0.042559614,NaN,0.028848154,0.013730193
30-04-1877,0.059281048,0.0588405,0.033673215,NaN,0.009569451,0.004597709
01-05-1877,0.037504395,NaN,0.087968773,NaN,0.023867481,NaN
02-05-1877,0.044451763,0.025642431,0.051587369,NaN,0.011947573,NaN
03-05-1877,0.03970745,0.01242252,0.022814678,NaN,0.032636929,NaN
04-05-1877,0.040821995,0.030081891,0.034454904,NaN,0.046520016,NaN
05-05-1877,0.031605339,0.026332374,0.020834087,NaN,0.048361072,NaN
07-05-1877,0.051293294,0.040226934,0.055377469,0.05425059,0.006600684,NaN
08-05-1877,0.032088315,0.028374979,0.0199825,0.024434025,0.024582243,NaN
09-05-1877,0.048202102,0.030213779,0.038714512,0.040821995,0.036203049,NaN
10-05-1877,0.016686919,0.012048339,0.031281299,0.033091255,0.00900907,NaN
11-05-1877,0.017595762,0.017699577,0.0309961,0.035029851,0.020202707,NaN
12-05-1877,0.025464339,0.022158341,0.052029671,0.051914771,0.009049836,NaN
14-05-1877,0.033296774,0.01569133,0.022388995,0.02336135,0.009216655,NaN
15-05-1877,0.018018506,0.02051973,0.028600615,0.025548835,0.01415118,NaN
16-05-1877,0.023414502,0.030771659,0.039609138,0.037387532,0.009708814,NaN
17-05-1877,0.018576386,0.022195732,0.025975486,0.028330507,0.004842624,NaN
18-05-1877,0.01340666,0.013325455,0.035228692,0.022388995,0.018779895,NaN
19-05-1877,0.028274778,0.029962498,0.039687748,0.041281659,0.019231362,NaN
21-05-1877,0.018916075,0.015056746,0.032523192,0.023167059,0.015113638,NaN
22-05-1877,0.025774623,0.025609594,0.029229638,0.031498667,0.015037877,NaN
23-05-1877,0.052312489,0.052643733,0.044357853,0.043744549,0.012547216,NaN
24-05-1877,0.033447934,0.033225648,0.040302379,0.040005335,0.010050336,NaN
25-05-1877,0.025419429,0.02684725,0.012959145,0.02045061,0.015267472,NaN
26-05-1877,0.026668247,0.028170877,0.033748985,0.033901552,0.026526754,NaN
28-05-1877,0.0370667,0.042735655,0.034133006,0.03879797,0.021277398,NaN
29-05-1877,0.026167209,0.022713067,0.033373509,0.037979248,0.021053409,NaN
31-05-1877,0.023673747,0.026668247,0.027908788,0.028293509,0.068992871,0.015915455
01-06-1877,0.027363271,0.025431438,0.016807118,0.016129382,0.0104713,NaN
02-06-1877,0.032704026,0.017884232,0.025533302,0.032523192,0.013245227,NaN
04-06-1877,0.019802627,0.007490672,0.019334652,0.010320009,0.002670229,NaN
05-06-1877,0.02045061,0.010711656,0.008620743,0.010362787,0.010695289,NaN
06-06-1877,0.028947576,0.026419563,0.019629856,0.012578782,0.010695289,NaN
07-06-1877,0.023020651,0.015384919,0.008620743,0.010449416,0.008032172,NaN
08-06-1877,0.014935783,0.009245058,0.023888215,0.022989518,0.005479466,NaN
09-06-1877,0.020067563,0.022045743,0.008620743,0.006204777,0.008230499,NaN
11-06-1877,0.019672766,0.016529302,0.038221213,0.032789823,0.002691792,NaN
12-06-1877,0.028987537,0.022745484,0.023480268,0.022611446,0.005361943,NaN
13-06-1877,0.022713067,0.020650829,0.019334652,0.0268889,0.008053735,NaN
14-06-1877,0.017368506,0.014498537,0.021460051,0.014478019,0.005333346,NaN
15-06-1877,0.012220111,0.012384059,0.013072082,0.00836825,NaN,NaN
16-06-1877,0.023304687,0.023530497,0.024044874,0.01892801,0.002699057,NaN
18-06-1877,0.026743325,0.020186394,0.024916351,0.021645867,0.005479466,NaN
19-06-1877,0.011019395,0.012678458,0.017505918,0.008421102,0.002743486,NaN
20-06-1877,0.023727561,0.016929062,0.01975915,0.027456846,0.00836825,NaN
21-06-1877,0.015374167,0.016000341,0.021692825,0.016667052,0.005665738,NaN
22-06-1877,0.016643935,0.022258471,0.012959145,0.016667052,0.005633818,NaN
23-06-1877,0.016529302,0.012519725,0.019169916,0.01242252,NaN,NaN
25-06-1877,0.016736792,0.017391743,0.025533302,0.022846269,0.002820876,0.009331327
26-06-1877,0.018144252,0.013370235,0.012658397,0.014388737,0.002812941,0.009245058
27-06-1877,0.021885801,0.01436577,0.01494158,0.014568416,0.005633818,0.00619197
28-06-1877,0.011283618,0.009615459,0.004246291,0.004149384,0.002844952,NaN
29-06-1877,0.029199155,0.020517749,0.019502243,0.014783796,0.011628038,0.016000341
30-06-1877,0.014069095,0.016502025,0.0108815,0.008474627,0.029852963,NaN
02-07-1877,0.013072082,0.006896579,0.006309169,NaN,NaN,NaN
05-07-1877,0.009933857,0.005221944,0.006309169,NaN,0.013158085,NaN
06-07-1877,0.005749502,0.005203828,0.0166324,0.016293639,0.012987196,NaN
07-07-1877,0.014622519,0.005203828,0.012320484,0.012072581,0.006557401,NaN
09-07-1877,0.014742282,0.005231049,0.016461277,0.010152371,NaN,NaN
10-07-1877,0.018257769,0.00881063,0.020534602,0.01011131,0.006600684,NaN
11-07-1877,0.009341894,0.007168489,0.012500163,0.008281621,0.030983546,NaN
12-07-1877,0.012739026,0.016057437,0.008438869,0.004201687,0.007067167,NaN
13-07-1877,0.010033529,0.009678914,0.018692133,0.006179216,0.013841051,NaN
14-07-1877,0.020134908,0.014184635,0.018692133,0.016461277,0.003502631,NaN
